LHS	Relation	RHS
animals need water also	effect	animals survive
all living things need nutrients	effect	all living things survive
animals take in food	effect	animals get nutrients
all cells need oxygen	effect	all cells survive
they eat a great deal of food	effect	they increase their body fat
you wash your hands often	effect	you remove any harmful germs
living things & ( living things change the sun 's energy ) change the sun 's energy	effect	living things & ( living things change the sun 's energy ) make their[producers] own food
humans use resources from the environment	effect	humans create shelters & energy
humans use wood	effect	humans build homes
humans use materials also	effect	humans create energy
we use fossil fuels	effect	we make gasoline
a greater demand for food is  since the human population increases in size everyday	effect	humans survive
humans need food	effect	humans survive
scientists use tools & instruments often in_addition_to their senses	effect	scientists observe matter
you need more force	effect	you move it[box] across the floor
it takes approximately one month for the moon	effect	it revolve  completely around the earth
scientists use an anemometer	effect	scientists determine wind speed
(  decide a hypothesis once upon you ) conduct an experiment	effect	(  decide a hypothesis once upon you ) prove the hypothesis
they[students] researched information	effect	they[students] find the best soil & nutrients & light source
all living things need air & water	effect	all living things survive
plants need light	effect	plants survive
the plant gets the energy	effect	the plant go  through photosynthesis from sunlight
cactus hold water	effect	cactus survive  in the desert
adaptation examples include	effect	palm trees absorb extra sunlight
palm trees have wide leaves	effect	palm trees absorb extra sunlight
animals need air & water & food	effect	animals survive
some animals grow thick fur in winter in winter	effect	some animals warm
some animals increase body fat in winter in winter	effect	some animals warm
a scientist use a graduated cylinder	effect	a scientist measure the volume of a liquid
using your eyes	effect	see
using your senses	effect	make an observation
living things need food & water & air	effect	living things survive
develop tough outer coatings	effect	tough outer coatings protect the plant from the environment
the body growing new bone cells	effect	new bone cells repair the break
creating new clean forms of energy	effect	new clean forms of energy conserve fossil fuels
we exert force in our everyday lives	effect	force do work
a plant & ( a plant lives  in the desert ) have a large root system	effect	a large root system find water deep within the ground
have a tough outer coating	effect	a tough outer coating prevent the loss of water
a hand lens	purpose	view objects in more detail
organisms reproduce dna from the parents	purpose	organisms form the genetic information for the new offspring
a thermometer	purpose	measure temperature
precipitation	purpose	describe water & ( water falls  from the sky )
our bodies sweat  in the hot weather	effect	our bodies bringing water to our skin
work involves the changing of an object 's position	effect	work moving  up down from side to side
a complete circuit	purpose	electrical energy flow
the force	purpose	it[object] travel a certain distance
nutrients	purpose	the plant survive
body fat	purpose	animals get long periods of time with little food through
good hearing	purpose	elephants protect them from predators
water	purpose	living things survive  by moving materials
the flower	purpose	the plant reproduce
the sides of their body	purpose	the fish get oxygen from the water while swimming
long trunks	purpose	them grab food and drink water
energy	purpose	us turn on (  lights  (  on  so ) ) & ring door bells
strong legs	purpose	them run  on many different landscapes
hooves	purpose	them run  on many different landscapes
the soil & ( the soil perform photosynthesis )	purpose	them grow
this camouflage	purpose	protect the animal from enemies
a lion 's golden fur	purpose	it[fur] blend  into the desert landscape
very large ear flaps	purpose	them hear
a flipper	purpose	them swim
living things depend  upon each other upon the nonliving environment	effect	living things survive
they eat	effect	they get nutrients
other living organisms depend  on plants	effect	other living organisms survive
(  thorns  on ) stems	effect	(  thorns  on ) protect the plant
roots grow  longer	effect	roots reach the water supply
animals move  around	effect	animals find shelter & food
we breathe  faster	effect	we sweat
they sleep	effect	they go  for a long period of time with little food
flying  south in the winter	effect	flying avoid the cold months
they continue an adult stage of life & ( they continue an adult stage of life )	effect	they grow
an offspring grows up	effect	an offspring look  like its[offspring] parents
you teach them	effect	you do each behavior
the body clean  regularly	effect	the body prevent germs & bacteria
you clean it	effect	prevent any bacteria
cover it with a bandage	effect	reduce the chance of getting infected
the lungs work  harder	effect	the lungs remove the chemicals
the liver work  harder	effect	the liver remove these foreign substances
build factories	effect	create many different products
take materials from the environment	effect	create many different products
convert food	effect	energy
rock a push	effect	it[push] move down the hill
it[push] begins	effect	it[push] move down the hill
consider the blade of an ax	effect	a wedge
the sun appears each day	effect	the sun rise
the sun appear	effect	the sun move  through the sky during the day
the moon appears  during a lunar eclipse	effect	the moon a reddish-orange color
( becoming very small pieces & ( very small pieces combine  with other earth materials )  ) combine  with other earth materials	effect	( becoming very small pieces & ( very small pieces combine  with other earth materials )  ) create soil
