Activity		Type of Weather	
Ice skating	is best done in	cold	weather
Air sports	is best done in	clear	weather
Archery	is best done in	clear; sunny	weather
Astronomy	is best done in	clear	weather
Backpacking	is best done in	clear; sunny; warm	weather
BASE jumping	is best done in	clear; sunny	weather
Baseball	is best done in	clear; sunny; warm	weather
Basketball	is best done in	clear; sunny; warm	weather
Bird watching	is best done in	clear	weather
Cycling	is best done in	clear; sunny; warm	weather
Driving	is best done in	any	weather
Fishing	is best done in	warm	weather
Flag Football	is best done in	clear; sunny; warm	weather
Flying	is best done in	clear	weather
Gardening	is best done in	sunny; warm	weather
Geocaching	is best done in	clear; sunny; warm	weather
Handball	is best done in	clear; sunny; warm	weather
Hiking	is best done in	clear; sunny; warm	weather
Horseback riding	is best done in	clear; sunny; warm	weather
Hunting	is best done in	clear	weather
Inline skating	is best done in	clear; sunny; warm	weather
Jogging	is best done in	clear	weather
Kayaking	is best done in	clear; sunny; warm	weather
Kite flying	is best done in	windy	weather
Kitesurfing	is best done in	windy; clear; sunny; warm	weather
Mountain biking	is best done in	clear	weather
Mountaineering	is best done in	clear	weather
Mushroom hunting/Mycology	is best done in	clear	weather
Netball	is best done in	clear; sunny; warm	weather
Nordic skating	is best done in	snowy; clear; cold	weather
Orienteering	is best done in	clear; sunny; warm	weather
Paintball	is best done in	clear; sunny; warm	weather
Parkour	is best done in	clear; sunny; warm	weather
Photography	is best done in	clear	weather
Polo	is best done in	clear; sunny; warm	weather
Rafting	is best done in	clear; sunny; warm	weather
Rappelling	is best done in	clear; sunny; warm	weather
Rock climbing	is best done in	clear; sunny; warm	weather
Roller skating	is best done in	clear; sunny; warm	weather
Rugby	is best done in	clear; sunny; warm	weather
Running	is best done in	clear; sunny; warm	weather
Sailing	is best done in	windy; clear; sunny; warm	weather
Scuba diving	is best done in	clear; sunny; warm	weather
Sculling; Rowing	is best done in	clear; sunny; warm	weather
Skateboarding	is best done in	clear; sunny; warm	weather
Skiing	is best done in	snowy; clear; cold	weather
Skydiving	is best done in	clear; sunny; warm	weather
Snowboarding	is best done in	snowy; clear; cold	weather
Surfing	is best done in	clear; sunny; warm	weather
Swimming	is best done in	clear; sunny; warm	weather
Water sports	is best done in	clear; sunny; warm	weather
Seashell collecting	is best done in	clear; sunny; warm	weather
American football	is best done in	clear; sunny; warm	weather
Archery	is best done in	clear; sunny; warm	weather
Australian rules football	is best done in	clear; sunny; warm	weather
Auto racing	is best done in	clear	weather
Baseball	is best done in	clear; sunny; warm	weather
Beach Volleyball	is best done in	clear; sunny; warm	weather
Climbing	is best done in	clear; sunny; warm	weather
Cricket	is best done in	clear; sunny; warm	weather
Cycling	is best done in	clear; sunny; warm	weather
Disc golf	is best done in	clear; sunny; warm	weather
Field hockey	is best done in	clear; sunny; warm	weather
Figure skating	is best done in	clear; sunny; warm	weather
Fishing	is best done in	clear; sunny; warm	weather
Ultimate Frisbee 	is best done in	clear; sunny; warm	weather
Golfing	is best done in	clear; sunny; warm	weather
Handball	is best done in	clear; sunny; warm	weather
Ice hockey	is best done in	cold	weather
Lacrosse	is best done in	clear; sunny; warm	weather
Racquetball	is best done in	any	weather
Roller derby	is best done in	any	weather
Rugby league football	is best done in	clear; sunny; warm	weather
Skateboarding	is best done in	clear; sunny; warm	weather
Speed skating	is best done in	cold	weather
Squash	is best done in	any	weather
Surfing	is best done in	clear; sunny; warm	weather
Swimming	is best done in	clear; sunny; warm	weather
Table tennis	is best done in	any	weather
Tennis	is best done in	clear; sunny; warm	weather
Triathlon	is best done in	clear; sunny; warm	weather
Volleyball	is best done in	clear; sunny; warm	weather
Aircraft spotting	is best done in	clear	weather
Amateur astronomy	is best done in	clear	weather
Birdwatching	is best done in	clear	weather
Bus spotting	is best done in	clear	weather
Geocaching	is best done in	clear	weather
Gongoozling	is best done in	clear	weather
