	Animal		Weight	
A(n)	Blue whale	weighs, on average,	136000	kilograms
A(n)	Bowhead	weighs, on average,	100000	kilograms
A(n)	Fin whale	weighs, on average,	70000	kilograms
A(n)	Southern right whale	weighs, on average,	45000	kilograms
A(n)	Humpback whale	weighs, on average,	30000	kilograms
A(n)	Gray whale	weighs, on average,	28500	kilograms
A(n)	Northern right whale	weighs, on average,	23000	kilograms
A(n)	Sei whale	weighs, on average,	20000	kilograms
A(n)	Bryde's whale	weighs, on average,	16000	kilograms
A(n)	Baird's beaked whale	weighs, on average,	11380	kilograms
A(n)	Minke whale	weighs, on average,	7500	kilograms
A(n)	Northern bottlenose whale	weighs, on average,	6500	kilograms
A(n)	Gervais's beaked whale	weighs, on average,	5600	kilograms
A(n)	African elephant	weighs, on average,	4800	kilograms
A(n)	Killer whale	weighs, on average,	3988	kilograms
A(n)	Hippopotamus	weighs, on average,	3750	kilograms
A(n)	Asian elephant	weighs, on average,	3178	kilograms
A(n)	Cuvier's beaked whale	weighs, on average,	2701	kilograms
A(n)	Short-finned pilot whale	weighs, on average,	2200	kilograms
A(n)	White rhinoceros	weighs, on average,	2175	kilograms
A(n)	Javan rhinoceros	weighs, on average,	1750	kilograms
A(n)	Indian rhinoceros	weighs, on average,	1602	kilograms
A(n)	Northern elephant seal	weighs, on average,	1600	kilograms
A(n)	Beluga	weighs, on average,	1430	kilograms
A(n)	Southern elephant seal	weighs, on average,	1400	kilograms
A(n)	Sumatran rhinoceros	weighs, on average,	1260	kilograms
A(n)	Narwhal	weighs, on average,	1250	kilograms
A(n)	Black rhinoceros	weighs, on average,	1100	kilograms
A(n)	Blainville's beaked whale	weighs, on average,	1088	kilograms
A(n)	Long-finned pilot whale	weighs, on average,	1060	kilograms
A(n)	Walrus	weighs, on average,	1013	kilograms
A(n)	Gaur	weighs, on average,	825	kilograms
A(n)	Giraffe	weighs, on average,	800	kilograms
A(n)	Kouprey	weighs, on average,	800	kilograms
A(n)	False killer whale	weighs, on average,	748	kilograms
A(n)	Water buffalo	weighs, on average,	725	kilograms
A(n)	African buffalo	weighs, on average,	700	kilograms
A(n)	Banteng	weighs, on average,	700	kilograms
A(n)	Yak	weighs, on average,	667	kilograms
A(n)	American bison	weighs, on average,	630	kilograms
A(n)	European bison	weighs, on average,	610	kilograms
A(n)	Amazonian manatee	weighs, on average,	480	kilograms
A(n)	Polar bear	weighs, on average,	475	kilograms
A(n)	Bactrian camel	weighs, on average,	475	kilograms
A(n)	Weddell seal	weighs, on average,	425	kilograms
A(n)	Risso's dolphin	weighs, on average,	425	kilograms
A(n)	Pygmy sperm whale	weighs, on average,	425	kilograms
A(n)	Northern sea lion	weighs, on average,	415	kilograms
A(n)	Hooded seal	weighs, on average,	405	kilograms
A(n)	Moose	weighs, on average,	386	kilograms
A(n)	Grevy's zebra	weighs, on average,	384	kilograms
A(n)	Bearded seal	weighs, on average,	373	kilograms
A(n)	Leopard seal	weighs, on average,	368	kilograms
A(n)	Dugong	weighs, on average,	360	kilograms
A(n)	Caribbean manatee	weighs, on average,	322	kilograms
A(n)	Muskox	weighs, on average,	315	kilograms
A(n)	Bongo	weighs, on average,	308	kilograms
A(n)	Baird's tapir	weighs, on average,	300	kilograms
A(n)	Mountain zebra	weighs, on average,	296	kilograms
A(n)	Burchell's zebra	weighs, on average,	280	kilograms
A(n)	Indo-Pacific humpbacked dolphin	weighs, on average,	280	kilograms
A(n)	Brown bear and grizzly bear	weighs, on average,	278	kilograms
A(n)	Kiang	weighs, on average,	275	kilograms
A(n)	Mediterranean monk seal	weighs, on average,	275	kilograms
A(n)	Gray seal	weighs, on average,	268	kilograms
A(n)	Brazilian tapir	weighs, on average,	250	kilograms
A(n)	Malayan tapir	weighs, on average,	250	kilograms
A(n)	Tamaraw	weighs, on average,	240	kilograms
A(n)	Kulan	weighs, on average,	230	kilograms
A(n)	Roan antelope	weighs, on average,	225	kilograms
A(n)	Sable antelope	weighs, on average,	225	kilograms
A(n)	Okapi	weighs, on average,	225	kilograms
A(n)	Hawaiian monk seal	weighs, on average,	223	kilograms
A(n)	Greater kudu	weighs, on average,	218	kilograms
A(n)	Pygmy hippopotamus	weighs, on average,	215	kilograms
A(n)	Atlantic white-sided dolphin	weighs, on average,	208	kilograms
A(n)	Southern sea lion	weighs, on average,	208	kilograms
A(n)	Melon-headed whale	weighs, on average,	206	kilograms
A(n)	Giant forest hog	weighs, on average,	203	kilograms
A(n)	Bottlenosed dolphin	weighs, on average,	200	kilograms
A(n)	Red deer	weighs, on average,	200	kilograms
A(n)	Irrawaddy dolphin	weighs, on average,	190	kilograms
A(n)	Australian sea lion	weighs, on average,	190	kilograms
A(n)	New Zealand sea lion	weighs, on average,	188	kilograms
A(n)	Pere David's deer	weighs, on average,	187	kilograms
A(n)	Sambar	weighs, on average,	185	kilograms
A(n)	Takin	weighs, on average,	180	kilograms
A(n)	Harp seal	weighs, on average,	180	kilograms
A(n)	California sea lion	weighs, on average,	180	kilograms
A(n)	Wild boar	weighs, on average,	180	kilograms
A(n)	Nilgai	weighs, on average,	180	kilograms
A(n)	Scimitar-horned oryx	weighs, on average,	178	kilograms
A(n)	Ross seal	weighs, on average,	177	kilograms
A(n)	Waterbuck	weighs, on average,	175	kilograms
A(n)	Lion	weighs, on average,	175	kilograms
A(n)	Gemsbok	weighs, on average,	170	kilograms
A(n)	Barasingha	weighs, on average,	170	kilograms
A(n)	Northern fur seal	weighs, on average,	166	kilograms
A(n)	Blue wildebeest	weighs, on average,	165	kilograms
A(n)	Fraser's dolphin	weighs, on average,	164	kilograms
A(n)	Argali	weighs, on average,	160	kilograms
A(n)	Hartebeest	weighs, on average,	159	kilograms
A(n)	Anoa	weighs, on average,	155	kilograms
A(n)	American black bear	weighs, on average,	154	kilograms
A(n)	Mountain anoa	weighs, on average,	150	kilograms
A(n)	Mountain tapir	weighs, on average,	149	kilograms
A(n)	Gorilla	weighs, on average,	140	kilograms
A(n)	Thorold's deer	weighs, on average,	135	kilograms
A(n)	Black wildebeest	weighs, on average,	132	kilograms
A(n)	South African fur seal	weighs, on average,	128	kilograms
A(n)	Guanaco	weighs, on average,	128	kilograms
A(n)	Eld's deer	weighs, on average,	123	kilograms
A(n)	Arabian oryx	weighs, on average,	121	kilograms
A(n)	Nyala	weighs, on average,	120	kilograms
A(n)	Dall's porpoise	weighs, on average,	120	kilograms
A(n)	Tiger	weighs, on average,	120	kilograms
A(n)	Giant panda	weighs, on average,	118	kilograms
A(n)	Harbor seal	weighs, on average,	115	kilograms
A(n)	Rough-toothed dolphin	weighs, on average,	114	kilograms
A(n)	Pantropical spotted dolphin	weighs, on average,	113	kilograms
A(n)	Striped dolphin	weighs, on average,	113	kilograms
