	Type of Animal		Type of Diet (herbivore, omnivore, carnivore)
A(n)	Buffalo	is a(n)	herbivore
A(n)	African buffalo	is a(n)	herbivore
A(n)	Cattle	is a(n)	herbivore
A(n)	Tamaraw	is a(n)	herbivore
A(n)	Carabao	is a(n)	herbivore
A(n)	Saola	is a(n)	herbivore
A(n)	Wisent	is a(n)	herbivore
A(n)	Yak	is a(n)	herbivore
A(n)	Kouprey	is a(n)	herbivore
A(n)	Giant eland	is a(n)	herbivore
A(n)	Okapi	is a(n)	herbivore
A(n)	Horse	is a(n)	herbivore
A(n)	Zebra	is a(n)	herbivore
A(n)	donkey	is a(n)	herbivore
A(n)	Capybara	is a(n)	herbivore
A(n)	Chinchilla	is a(n)	herbivore
A(n)	Beaver	is a(n)	herbivore
A(n)	Octodont	is a(n)	herbivore
A(n)	Chevrotain	is a(n)	herbivore
A(n)	Chinkara	is a(n)	herbivore
A(n)	Deer	is a(n)	herbivore
A(n)	Elephant	is a(n)	herbivore
A(n)	Panda	is a(n)	herbivore
A(n)	Gazelle	is a(n)	herbivore
A(n)	Giraffe	is a(n)	herbivore
A(n)	Goat	is a(n)	herbivore
A(n)	Guinea Pig	is a(n)	herbivore
A(n)	Rhinoceros	is a(n)	herbivore
A(n)	Hippopotamus	is a(n)	herbivore
A(n)	Kangaroo	is a(n)	herbivore
A(n)	Koala	is a(n)	herbivore
A(n)	Llama	is a(n)	herbivore
A(n)	Panda	is a(n)	herbivore
A(n)	Mastodon	is a(n)	herbivore
A(n)	Rabbit	is a(n)	herbivore
A(n)	Gorilla	is a(n)	herbivore
A(n)	White Tailed Deer	is a(n)	herbivore
A(n)	Bactrian Camel	is a(n)	herbivore
A(n)	Mountain Goat	is a(n)	herbivore
A(n)	Cockatoo	is a(n)	herbivore
A(n)	Goose	is a(n)	herbivore
A(n)	Hoatzin	is a(n)	herbivore
A(n)	Hyacinth Macaw	is a(n)	herbivore
A(n)	Kakapo	is a(n)	herbivore
A(n)	Parakeet	is a(n)	herbivore
