COUNTRY		HEMISPHERE (North, South, equatorial region)
Angola	is located in the	southern hemisphere
Botswana	is located in the	southern hemisphere
Burundi	is located in the	southern hemisphere
Comoros	is located in the	southern hemisphere
Lesotho	is located in the	southern hemisphere
Madagascar	is located in the	southern hemisphere
Malawi	is located in the	southern hemisphere
Mauritius	is located in the	southern hemisphere
Samoa	is located in the	southern hemisphere
Mozambique	is located in the	southern hemisphere
Namibia	is located in the	southern hemisphere
Rwanda	is located in the	southern hemisphere
Seychelles	is located in the	southern hemisphere
Swaziland	is located in the	southern hemisphere
Tanzania	is located in the	southern hemisphere
Zambia	is located in the	southern hemisphere
Zimbabwe	is located in the	southern hemisphere
Argentina	is located in the	southern hemisphere
Bolivia	is located in the	southern hemisphere
Chile	is located in the	southern hemisphere
Paraguay	is located in the	southern hemisphere
Peru	is located in the	southern hemisphere
Uruguay	is located in the	southern hemisphere
Tonga	is located in the	southern hemisphere
Tuvalu	is located in the	southern hemisphere
Vanuatu	is located in the	southern hemisphere
Fiji	is located in the	southern hemisphere
Nauru	is located in the	southern hemisphere
Réunion (France)	is located in the	southern hemisphere
Mayotte (France)	is located in the	southern hemisphere
British Indian Ocean Territory (United Kingdom)	is located in the	southern hemisphere
Heard Island and McDonald Islands (Australia)	is located in the	southern hemisphere
East Timor	is located in the	southern hemisphere
South Africa	is located in the	southern hemisphere
Antarctica	is located in the	southern hemisphere
Bouvet Island (Norway)	is located in the	southern hemisphere
French Southern and Antarctic Lands (France)	is located in the	southern hemisphere
South Georgia and the South Sandwich Islands (United Kingdom)	is located in the	southern hemisphere
South Orkney Islands (Antarctic Treaty signatories)	is located in the	southern hemisphere
South Shetland Islands (Antarctic Treaty signatories)	is located in the	southern hemisphere
American Samoa (United States)	is located in the	southern hemisphere
Ashmore and Cartier Islands (Australia)	is located in the	southern hemisphere
Christmas Island (Australia)	is located in the	southern hemisphere
Cocos (Keeling) Islands (Australia)	is located in the	southern hemisphere
Cook Islands (New Zealand)	is located in the	southern hemisphere
Coral Sea Islands (Australia)	is located in the	southern hemisphere
French Polynesia (France)	is located in the	southern hemisphere
Jarvis Island (United States)	is located in the	southern hemisphere
