"Title","Application type","implementation","Visualization types","Data types","Aggregation","Disk","Incremental","Preferences","Sampling","Statistics","User recommendation"
"Visual analysis of statistical data on maps using linked open data","Web","ViCoMap","Map","Numeric, Special, Temporal","F","F","F","F","F","T","F"
"LinkDaViz – Automatic Binding of Linked Data to Visualizations","Web","LinkDaViz","Bubble chart, Chart, Map, Pie, Scatter","Numeric, Special, Temporal","F","F","F","T","F","F","T"
"Using Semantics for Interactive Visual Analysis of Linked Open Data","Web","Vis Wizard","Bubble chart, Chart, Map, Parallel coordinates, Pie, Streamgraph","Numeric, Special, Temporal","F","F","F","T","F","F","T"
"rdf:SynopsViz – A Framework for Hierarchical Linked Data Visual Exploration and Analysis","Web","SynopsViz","Chart, Pie, Timeline, Treemap","Hierarchical (tree), Numeric, Temporal","T","T","T","T","F","T","T"
"Towards a Linked-Data based Visualization Wizard","Web","LDVizWiz","Map, Pie, Tree","Graph (network), Hierarchical (tree), Special","F","F","F","F","F","F","T"
"Payola: Collaborative Linked Data Analysis and Visualization Framework","Web","Payola","Chart, Circle, Graph, Map, Timeline, Tree, Treemap","Graph (network), Hierarchical (tree), Numeric, Special, Temporal","F","F","F","F","F","F","F"
"Formal Linked Data Visualization Model","Web","LDVM","Bubble chart, Map, Tree, Treemap","Graph (network), Hierarchical (tree), Special","F","F","F","F","F","F","T"
"SemLens: visual analysis of semantic data with scatter plots and semantic lenses","Web","SemLens","Scatter","Numeric","F","F","F","T","F","F","F"
"LODWheel – JavaScript-based Visualization of RDF Data","Web","LODWheel","Chart, Graph, Map, Pie","Graph (network), Numeric, Special","F","F","F","F","F","F","F"
"Context-aware Recommendation of Visualization Components","Web","VizBoard","Chart, Scatter, Treemap","Hierarchical (tree), Numeric","F","F","F","T","T","F","T"
"Facets and Pivoting for Flexible and Usable Linked Data Exploration","Web","Rhizomer","Chart, Map, Timeline, Treemap","Graph (network), Hierarchical (tree), Numeric, Special, Temporal","F","F","F","F","F","F","T"
