"Title","has research problem","implementation","Domain","Application type","Aggregation","Disk","Filter","Incremental","Keyword","Sampling"
"graphVizdb: A Scalable Platform for Interactive Large Graph Visualization.","Graph-based visualization systems","graphVizdb","Generic","Web","F","T","T","F","T","T"
"User-Oriented Visualization of Ontologies","Graph-based visualization systems","VOWL 2","Ontology","Web","F","F","F","F","F","F"
"A Visual Summary for Linked Open Data sources.","Graph-based visualization systems","LODeX","Generic","Web","T","F","F","F","F","T"
"Visualizing Populated Ontologies with OntoTrix","Graph-based visualization systems","OntoTrix","Ontology","Desktop","T","F","F","F","F","T"
"LodLive, exploring the web of data","Graph-based visualization systems","Lodlive","Generic","Web","F","F","F","F","T","F"
"Using Hierarchical Edge Bundles to visualize complex ontologies in GLOW","Graph-based visualization systems","GLOW","Ontology","Desktop","T","F","F","F","F","T"
"LODWheel - JavaScript-based Visualization of RDF Data.","Graph-based visualization systems","LODWheel","Generic","Web","T","F","T","F","F","F"
"A Novel Approach to Visualizing and Navigating Ontologies","Graph-based visualization systems","KC-Viz","Ontology","Desktop","F","F","F","F","F","T"
"ZoomRDF: semantic fisheye zooming on RDF data.","Graph-based visualization systems","ZoomRDF","Generic","Desktop","T","F","F","T","F","T"
"Interactive Relationship Discovery via the Semantic Web","Graph-based visualization systems","RelFinder","Generic","Web","F","F","F","F","F","F"
"A Visualization Service for the Semantic Web","Graph-based visualization systems","FlexViz","Generic","Web","F","F","T","F","T","F"
"Visualizing large-scale RDF data using Subsets, Summaries, and Sampling in Oracle","Graph-based visualization systems","Cytospace","Generic","Desktop","T","T","T","F","T","T"
"Using Clusters in RDF Visualization","Graph-based visualization systems","Trisolda","Generic","Desktop","T","F","F","T","F","T"
"An Open Source Software for Exploring and Manipulating Networks","Graph-based visualization systems","Gephi","Generic","Desktop","T","F","T","F","F","T"
"Browsing Linked Data with Fenfire","Graph-based visualization systems","Fenfire","Generic","Desktop","F","F","F","F","F","F"
"RDF data exploration and visualization","Graph-based visualization systems","PGV","Generic","Desktop","F","T","F","T","F","F"
"NodeTrix: a Hybrid Visualization of Social Networks","Graph-based visualization systems","NodeTrix","Ontology","Desktop","T","F","F","F","F","F"
"A tool for visualization and editing of OWL ontologies","Graph-based visualization systems","GrOWL","Ontology","Desktop","F","F","T","F","T","T"
"IsaViz: a Visual Environment for Browsing and Authoring RDF Models","Graph-based visualization systems","IsaViz","Generic","Desktop","F","F","T","F","T","F"
