"Title","has research problem","implementation","Approach type","Document type","Summary characteristics","Summary usage","metric"
"Automatic Keyword Extraction for Text Summarization in e-Newspapers","Automatic text summarization","Implementation","Statistical","Single document","Extractive","","F-measure, Precision, Recall, Relative utility"
"UWN: A Large Multilingual Lexical Knowledge Base","Automatic text summarization","UWN","Algebraic","Multiple documents","Extractive","","F-measure, Precision, Recall, Relative utility"
"Exploiting Category-Specific Information for Multi-Document Summarization","Automatic text summarization","SWING","Statistical","Multiple documents","Extractive","Generic","ROUGE 1, ROUGE 2, ROUGE L, ROUGE SU4, ROUGE W"
"Towards Unsupervised Learning of Temporal Relations between Events","Automatic text summarization","Implementation","Graph based, Statistical","Multiple documents","Extractive","",""
"A Statistical Approach for Automatic Text Summarization by Extraction","Automatic text summarization","KSRS","Statistical","","","",""
"MCMR: Maximum coverage and minimum redundant text summarization model","Automatic text summarization","MCMR","Graph based","Multiple documents, Single document","Extractive","","ROUGE 1, ROUGE 2, ROUGE L, ROUGE SU4, ROUGE W"
"Using NMF-based text summarization to improve supervised and unsupervised classification","Automatic text summarization","Implementation","Graph based, Statistical","Multiple documents","Extractive","","ROUGE 1, ROUGE 2, ROUGE L, ROUGE SU4, ROUGE W"
"Framework for Abstractive Summarization using Text-to-Text Generation","Automatic text summarization","Implementation","","Multiple documents","Extractive","",""
"ThemeCrowds: multiresolution summaries of twitter usage","Automatic text summarization","ThemeCrowds","Algebraic","Multiple documents","","",""
"Automatic Multi-document Summarization Based on Clustering and Nonnegative Matrix Factorization","Automatic text summarization","Implementation","Graph based","Multiple documents","Extractive","Query based","ROUGE 1, ROUGE 2, ROUGE L, ROUGE SU4, ROUGE W"
"Understanding Text Corpora with Multiple Facets","Automatic text summarization","Implementation","Algebraic","Multiple documents","","",""
"Towards recency ranking in web search","Automatic text summarization","Implementation","Algebraic","Multiple documents","","Query based",""
"TIARA: A Visual Exploratory Text Analytic System","Automatic text summarization","TIARA","Algebraic","Multiple documents","Extractive","","F-measure, Precision, Recall, Relative utility"
"Multi-document summarisation using generic relation extraction","Automatic text summarization","Implementation","Algebraic","Multiple documents","Extractive","Generic","ROUGE 1, ROUGE 2, ROUGE L, ROUGE SU4, ROUGE W"
"OHSU Summarization and Entity Linking Systems","Automatic text summarization","Implementation","Statistical","Multiple documents","Extractive","Query based","ROUGE 1, ROUGE 2, ROUGE L, ROUGE SU4, ROUGE W"
"TEXT2TABLE: Medical Text Summarization System Based on Named Entity Recognition and Modality Identification","Automatic text summarization","TEXT2TABLE","Statistical","Multiple documents","Extractive","","F-measure, Precision, Recall, Relative utility"
