"Title","Ontology","Full name","Description","Class count","Data property count","Object property count","Example class","IRI","Website"
"Bibliographic ontology specification","BIBO","Bibliographic Ontology","Describing  citations and bibliographic references (including quotes, books and articles)","70","55","53","Agent, Collection, Document, Event","http://purl.org/ontology/bibo","http://bibliontology.com/"
"An ontology of scientific experiments","EXPO","","Ontology for describing scientific experiments, including the design, methodology and results","325","0","78","Abstract, Entity, Physical, Proposition","","http://expo.sourceforge.net"
"Ontology of Rhetorical Blocks (ORB)","ORB","Ontology of Rhetorical Blocks","Coarse-grained rhetorical scholarly document structure","7","0","0","Discussion, Header, Introduction, Results","http://purl.org/orb","https://www.w3.org/TR/hcls-orb"
"ScholOnto: an ontology-based digital library server for research documents and discourse","ScholOnto","","For scholarly interpretation and discourse. Describe debate and relations to the literature","29","6","44","PolarityType, RhetProperty, WeightType","","http://projects.kmi.open.ac.uk/scholonto"
"The Publishing Workflow Ontology (PWO)","PWO","Publishing Workflow Ontology","Used for describing the workflow steps for the publication of a document","65","31","102","Agent, Event, Situation, TempopralPosition, TimeZone","http://purl.org/spar/pwo","http://www.sparontologies.net/ontologies/pwo"
"The Document Components Ontology (DoCO)","DoCO","Document Components Ontology","For document structure (paragraph, chapter etc.) and rhetorical elements (introduction, discussion)","122","3","8","Abstract, Bibliography, Figure, Footnote, Paragraph","http://purl.org/spar/doco","http://www.sparontologies.net/ontologies/doco"
"The SPAR Ontologies","PSO","Publishing Status Ontology","Can record the status for the publication of a document (draft, submitted etc.)","43","44","80","Agent, Document, Event, PublishingStatus","http://purl.org/spar/pso","http://www.sparontologies.net/ontologies/pso"
"The SPAR Ontologies","PRO","Publishing Roles Ontology","For describing the different roles in the publication process (authors, editors, reviewers etc.)","39","44","82","Agent, PublishingRole, Role, RoleInTime","http://purl.org/spar/pro/","http://www.sparontologies.net/ontologies/pro"
"The SPAR Ontologies","C4O","Citation Counting and Context Characterisation Ontology","Recording of in-text citations including their textual citation context","33","8","73","BibliographicInformationSource, GlobalCitationCount, InTextReferencePointer","http://purl.org/spar/c4o","http://www.sparontologies.net/ontologies/c4o"
"The SPAR Ontologies","BiRO","Bibliographic Reference Ontology","Define bibliographic records, bibliographic references","26","3","66","BibliographicCollection, BibliographicList, BibliographicRecord, BibliographicReference","http://purl.org/spar/biro","http://www.sparontologies.net/ontologies/biro"
"FaBiO and CiTO: Ontologies for describing bibliographic resources and citations","CiTO","Citation Typing Ontology","For describing citations, both factually and rhetorically","11","3","100","Citation, DistantCitation, JournalCartelCitation, SelfCitation","http://purl.org/spar/cito","http://www.sparontologies.net/ontologies/cito"
"FaBiO and CiTO: Ontologies for describing bibliographic resources and citations","FaBiO","FRBR-aligned Bibliographic Ontology","Describing entities that can be published (e.g., papers). Focus on bibliographic references","268","67","71","Item, Manifestation, StorageMedium, Work","http://purl.org/spar/fabio","http://www.sparontologies.net/ontologies/fabio"
